iter	RMSE
0	11.48958052
1	9.163884782
2	7.905111458
3	7.047387738
4	6.622277738
5	6.322276903
6	6.153498566
7	6.027609653
8	5.94549022
9	5.875291347
10	5.826181181
11	5.779291452
12	5.732865017
13	5.685111467
14	5.668826156
15	5.643615886
16	5.605384971
17	5.578770313
18	5.571791122
19	5.551042809
20	5.542228393
21	5.538884473
22	5.522938815
23	5.510386103
24	5.491955866
25	5.485939343
26	5.474839027
27	5.464356619
28	5.455213409
29	5.44365903
30	5.436888532
31	5.433013131
32	5.430636085
33	5.426378806
34	5.423444813
35	5.41987515
36	5.4129624
37	5.41139301
38	5.40954675
39	5.406562276
40	5.403114009
41	5.39959308
42	5.392844912
43	5.391494764
44	5.38702978
45	5.384174198
46	5.382040373
47	5.379264217
48	5.377423323
49	5.374548466
50	5.371216137
51	5.369256716
52	5.368766623
53	5.367432637
54	5.366253949
55	5.363868958
56	5.36185795
57	5.361014005
58	5.358880151
59	5.357531128
60	5.3565877
61	5.354962546
62	5.353930117
63	5.352882859
64	5.351343951
65	5.351164006
66	5.349817684
67	5.348155539
68	5.348038418
69	5.347013107
70	5.346012382
71	5.344600111
72	5.343700341
73	5.342134779
74	5.341319393
75	5.340613841
76	5.340228772
77	5.33906966
78	5.338298062
79	5.337410602
80	5.336566415
81	5.335973011
82	5.334673324
83	5.334318906
84	5.334011633
85	5.333857233
86	5.332493855
87	5.332406373
88	5.331654835
89	5.330128643
90	5.329499676
91	5.329078724
92	5.328632926
93	5.327977901
94	5.327503212
95	5.327050689
96	5.326273446
97	5.325377493
98	5.325238225
99	5.324792082
