iter	Passed	Remaining
0	2	240
1	3	187
2	5	175
3	6	162
4	8	152
5	9	147
6	10	142
7	12	138
8	13	139
9	15	136
10	16	133
11	17	130
12	19	128
13	20	127
14	22	125
15	23	123
16	24	120
17	25	118
18	27	116
19	28	114
20	29	112
21	31	110
22	32	108
23	33	106
24	34	104
25	36	103
26	37	101
27	39	100
28	40	98
29	41	97
30	42	95
31	44	94
32	46	93
33	47	92
34	48	90
35	50	88
36	51	87
37	53	86
38	54	84
39	55	83
40	56	81
41	58	80
42	59	78
43	60	77
44	62	76
45	63	74
46	64	73
47	66	71
48	67	70
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	76	60
56	78	58
57	79	57
58	80	56
59	82	54
60	83	53
61	84	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	44
67	92	43
68	94	42
69	95	40
70	96	39
71	98	38
72	100	37
73	101	35
74	102	34
75	104	32
76	105	31
77	106	30
78	108	28
79	109	27
80	111	26
81	112	24
82	113	23
83	115	21
84	116	20
85	117	19
86	119	17
87	120	16
88	121	15
89	122	13
90	124	12
91	125	10
92	126	9
93	128	8
94	129	6
95	130	5
96	132	4
97	134	2
98	135	1
99	137	0
